Address_ID,Timestamp,Do.you.agree.to.participate.in.this.study.,X2..GPS.Coordinates.of.the.Shop,X3..Market.Name,X4...Group.,X5..Section,X6..Line,X7..Block.Number,X8..Shop.Number..Visible.Tag.,X9..Shop.Number..Count.,X10..Shop.Level,X11..Shop.Occupancy.Status,X12..Locked.Up.Status,X13..Shop.Type,X15..Position.in.Shop,X17..How.many.people.work.in.your.shop.each.day.,X18..Shop.Opening.Time,X19..Shop.Closing.Time,X20..Does.the.shop.owner.have.a.bank.account.,X21..Name.of.Bank.1,X22..Name.of.Bank.2,X23..Does.the.shop.owner.Have..a.smart.phone.,X24..Which.payment.platform.have.you.used.,X25..If.you.could.save.money.on.Electricity.would.you.be.willing.to.use.some.on.the.savings.to.fund.value.added.services.such.as.pensions..Healthcare.or.Educational.savings.plans,X26...What.would.be.your.First.Choice.for.value.added.Services,X27..What.would.be.the.second.choice.for.value.added.services,X28..What.would.be.the.Third.choice.for.value.added.services,X29..Is.There.Electricity.Supply.In.The.Shop.,X30..Do.You.Need.More.Hours.of.Electricity.In.This.Shop.,X31..Is.there.a.supply.of.electricity.for.this.shop.from.the.grid.utility..local.discos.NEPA.PHCN..connected.directly.to.this.shop..not.a.shared.connection.from.outside..,X32..How.frequent.do.you.pay.for.this.electricity,X33..How.Much.Do.you.Pay.for.grid.utility.service...local.disco.NEPA.PHCN.etc...during.the.payment.period.you.mentioned.before.,X34..Total.hours.of.power.interruption.from.the.grid.in.a.week.,X35..Is.there.a.supply.of.electricity.from.a..merger..generators.,X36..How.frequently.do.you.pay.for.this.electricity.supply..merger.,X37..How.Much.Do.You.Pay.For.electricity.from.the.merger.Generator..during.the.payment.period.you.mentioned.before.,X47..Total.amount.of.money.spent.on.fuel.for.all.generators..during.the.payment.period.you.mentioned.before.,X48..How.long.do.you.typically.run.the.generator.daily..in.hours..,X49..On.the.most.recent.workday..how.many.hours.of.generator.power.did.this.shop.use.,X51..What.price.do.you.typically.pay.for.fuel..Naira...liter..,X64..Which.appliance.is.the.most.important.for.your.business.to.function.properly,X65..Which.appliance.is.the.Second.most.important.for.your.business.to.function.properly,X66..Which.appliance.is.the.Third.most.important.for.your.business.to.function.properly,Latitude,Longitude
IGD--SEC(A)--LIN(2)--BL(3)--SNUM(94)--SLEV(0),2022-04-07 16:32:00,Accept,"5.52xxxx, 5.76xxxx",Igbudu Market,Closed Shop,SECTION A,2,3,94,62.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,8:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,None,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.52,5.76
Onitsha--SEC(B)--LIN(18)--BL(1)--SNUM(21590)--SLEV(GROUND FLOOR),2022-04-12 10:21:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,18,1,21590,611.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,3 to 5,9:00 AM,5:00 PM,TRUE,FIRST BANK NIGERIA LIMITED,FIRST BANK NIGERIA LIMITED,True,Quickteller,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Onuimo--SEC(A)--LIN(64)--BL(1)--SNUM(1260)--SLEV(0),2022-04-01 14:36:00,Accept,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo Industrial And General Goods Market),Closed Shop,SECTION A,64,1,1260,49.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.55,7.41
OTK--SEC(A)--LIN(4)--BL(12)--SNUM(382)--SLEV(0),2022-03-29 12:07:20,Accept,"7.19xxxx, 8.13xxxx",Otukpo Main Market,Closed Shop,SECTION A,4,12,382,16.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,7.19,8.13
KTS--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK 21)--SNUM(1200)--SLEV(0),2022-05-20 11:37:06,Accept,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Closed Shop,SECTION A,LINE 2,BLOCK 21,1200,16.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,1 to 2,9:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,TRUE,Healthcare,Education,Savings Account,True,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.9,7.6
OKJ--SEC(SECTION D)--LIN(LINE 3)--BL(20)--SNUM(1910)--SLEV(0),2022-05-19 11:14:07,Accept,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Closed Shop,SECTION D,LINE 3,20,1910,2.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.81,3.93
Aria--SEC(A)--LIN(1)--BL(2)--SNUM(720)--SLEV(0),2022-04-05 14:18:00,Accept,"6.45xxxx, 7.48xxxx",Aria New Market,Closed Shop,SECTION A,1,2,720,3.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.45,7.48
Onitsha--SEC(A)--LIN(3)--BL(1)--SNUM(585)--SLEV(GROUND FLOOR),2022-04-12 16:05:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION A,3,1,585,8.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
TND--SEC(SECTION D)--LIN(LINE 2)--BL(D75)--SNUM(4698)--SLEV(1),2022-06-03 12:27:00,Accept,"10.5xxxx4, 7.40xxxx",Tundun Wada Market,Closed Shop,SECTION D,LINE 2,D75,4698,24.0,FIRST FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.4
Onuimo--SEC(D)--LIN(11)--BL(2)--SNUM(5510)--SLEV(0),2022-05-24 08:38:45,Accept,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo Industrial And General Goods Market),Open Stall,SECTION D,11,2,5510,9.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Sales Boy/Girl,1 to 2,8:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.55,7.41
